,close,high,low,open,volume
2015-02-09,3345.92,3376.53,3298.6,3305.73,17235382000.0
2015-02-10,3406.94,3407.18,3339.55,3345.08,15930908800.0
2015-02-11,3434.12,3445.66,3412.14,3415.98,14461377200.0
2015-02-12,3442.87,3453.58,3405.63,3435.36,15608169100.0
2015-02-13,3469.83,3509.51,3452.08,3458.83,20108997100.0
2015-02-16,3499.48,3504.47,3466.61,3473.29,16564134300.0
2015-02-17,3522.32,3536.82,3511.09,3511.54,16532831300.0
2015-02-25,3478.73,3529.55,3463.95,3529.55,16553935100.0
2015-02-26,3566.3,3569.33,3456.87,3473.71,22932843800.0
2015-02-27,3572.84,3594.81,3560.45,3565.23,22278643800.0
2015-03-02,3601.26,3608.69,3566.53,3603.45,24817612500.0
2015-03-03,3507.9,3579.32,3504.2,3579.32,26186648900.0
2015-03-04,3530.82,3540.91,3497.17,3514.67,19966398100.0
2015-03-05,3496.34,3517.08,3467.68,3513.25,21750880500.0
2015-03-06,3478.52,3516.24,3472.39,3501.18,18151805400.0
2015-03-09,3537.75,3546.7,3417.49,3449.7,23394041100.0
2015-03-10,3520.61,3551.2,3511.99,3523.64,19426765700.0
2015-03-11,3524.65,3568.92,3512.22,3524.57,18894782500.0
2015-03-12,3592.84,3603.34,3536.53,3557.69,26566462500.0
2015-03-13,3617.66,3641.39,3594.74,3604.67,24686476800.0
2015-03-16,3705.67,3705.74,3621.12,3641.77,27543830700.0
2015-03-17,3757.12,3762.57,3716.81,3733.96,37162566600.0
2015-03-18,3846.05,3846.05,3763.85,3769.09,41519001100.0
2015-03-19,3839.74,3859.13,3809.71,3851.25,39154763000.0
2015-03-20,3892.57,3916.86,3832.42,3852.49,40181755200.0
2015-03-23,3972.06,3972.3,3922.21,3923.08,39111992200.0
2015-03-24,3973.05,3989.86,3883.78,3980.07,46858131200.0
2015-03-25,3940.41,3980.72,3913.99,3961.58,37996885100.0
2015-03-26,3950.0,3992.0,3892.88,3921.74,34675631500.0
2015-03-27,3971.7,3993.03,3932.87,3957.54,29875606400.0
2015-03-30,4088.18,4101.65,3999.02,3999.02,42829702000.0
2015-03-31,4051.2,4166.02,4037.77,4138.89,43606563500.0
2015-04-01,4123.9,4139.5,4046.94,4057.5,32951285300.0
2015-04-02,4124.78,4156.84,4068.65,4149.95,33907048700.0
2015-04-03,4170.54,4170.56,4092.38,4104.67,32130376600.0
2015-04-07,4260.04,4260.47,4197.02,4213.89,41536265400.0
2015-04-08,4295.8,4304.78,4204.83,4277.45,45867671500.0
2015-04-09,4262.14,4332.17,4212.61,4316.96,43969990200.0
2015-04-10,4344.42,4351.69,4231.2,4249.38,34819017000.0
2015-04-13,4421.07,4432.02,4361.59,4394.05,43415303600.0
2015-04-14,4438.18,4474.35,4385.91,4432.13,43443212600.0
2015-04-15,4380.51,4476.0,4379.61,4439.31,47215413100.0
2015-04-16,4513.55,4513.77,4335.63,4355.49,42260374800.0
2015-04-17,4596.14,4630.27,4553.9,4578.68,55280266300.0
2015-04-20,4521.92,4671.17,4492.6,4615.03,68643907500.0
2015-04-21,4619.16,4620.06,4504.56,4520.46,49031499100.0
2015-04-22,4739.81,4740.93,4632.59,4637.06,51621379200.0
2015-04-23,4740.89,4782.04,4693.97,4764.48,49743095400.0
2015-04-24,4702.64,4730.43,4618.32,4682.63,48015293600.0
2015-04-27,4807.59,4810.48,4735.31,4753.87,51307654800.0
2015-04-28,4741.86,4839.08,4703.57,4811.32,60863854500.0
2015-04-29,4774.33,4797.93,4695.79,4722.9,39505698000.0
2015-04-30,4749.89,4818.73,4749.48,4788.41,39972744400.0
2015-05-04,4787.74,4795.91,4699.4,4757.64,37784385300.0
2015-05-05,4596.84,4785.19,4572.98,4785.19,46041962600.0
2015-05-06,4553.33,4700.91,4511.76,4626.23,37607370200.0
2015-05-07,4470.09,4546.34,4467.46,4520.82,29775920300.0
2015-05-08,4558.4,4559.06,4445.59,4515.55,30240796700.0
2015-05-11,4690.53,4690.95,4535.15,4582.09,37383842000.0
2015-05-12,4747.42,4748.0,4660.02,4692.12,37705389100.0
2015-05-13,4718.44,4758.0,4678.85,4746.71,37073042400.0
2015-05-14,4700.78,4735.28,4670.17,4717.95,33772515200.0
2015-05-15,4617.47,4690.76,4592.05,4690.76,32843116600.0
2015-05-18,4575.14,4623.38,4565.06,4582.06,26918048900.0
2015-05-19,4731.22,4740.01,4577.64,4577.64,31478595200.0
2015-05-20,4754.92,4843.1,4745.21,4751.57,36318074800.0
2015-05-21,4840.98,4841.61,4746.03,4768.69,30505453700.0
2015-05-22,4951.34,4951.99,4870.6,4895.93,45584671800.0
2015-05-25,5099.49,5099.84,4949.11,4949.11,46573659000.0
2015-05-26,5198.92,5199.3,5063.15,5140.8,48794935900.0
2015-05-27,5181.43,5226.84,5126.86,5216.17,47079873000.0
2015-05-28,4834.01,5213.18,4831.33,5174.1,57182904700.0
2015-05-29,4840.83,4924.3,4665.52,4839.53,42787885900.0
2015-06-01,5076.18,5079.32,4835.77,4862.76,41750374100.0
2015-06-02,5161.87,5162.56,5047.08,5091.27,41297319600.0
2015-06-03,5143.59,5186.97,5059.49,5176.6,41425827000.0
2015-06-04,5181.42,5194.23,4863.47,5156.01,48276726800.0
2015-06-05,5230.55,5288.34,5104.18,5254.9,54596119600.0
2015-06-08,5353.75,5370.61,5202.6,5259.41,63731323700.0
2015-06-09,5317.46,5380.43,5251.21,5379.47,57042726300.0
2015-06-10,5309.11,5374.83,5209.68,5254.3,44216567600.0
2015-06-11,5306.59,5329.3,5248.16,5305.14,39233875500.0
2015-06-12,5335.11,5351.65,5283.09,5329.28,43013138600.0
2015-06-15,5221.17,5362.45,5207.31,5354.01,47574570300.0
2015-06-16,5064.82,5204.3,5015.27,5165.02,41167563800.0
2015-06-17,5138.83,5158.37,4949.29,5072.31,39712418700.0
2015-06-18,4930.55,5121.22,4926.43,5107.69,36439581400.0
